"species","location","date_collected","noindiv","drymass","bodyl","d13c","d15n"
"Notonecta","DC108_1","7/15/2015",17,0.033529412,1.222,-34.51,3.33
"Buenoa","DC108_1","7/15/2015",15,0.036,1.255,-34.78,3.92
"Buenoa","DC108_1","7/15/2015",14,0.040714286,1.286,-34.63,2.77
"Buenoa","DC108_1","7/15/2015",13,0.069230769,1.299,-35.17,2.83
"Buenoa","DC108_1","7/15/2015",8,0.1575,1.328,-35.45,2.73
"Buenoa","DC108_1","7/15/2015",17,0.044117647,1.403,-35.2,3.22
"Buenoa","DC108_1","7/15/2015",12,0.045833333,1.403,-35.44,3.26
"Buenoa","DC108_1","7/15/2015",8,0.05875,1.431,-35.43,3.15
"Buenoa","DC108_1","7/15/2015",7,0.071428571,1.524,-35.48,2.76
"Buenoa","DC108_1","7/15/2015",7,0.102857143,1.541,-35.08,3.24
"Buenoa","DC108_1","7/15/2015",7,0.097142857,1.554,-35.09,3.32
"Notonecta","DC108_1","7/15/2015",6,0.1,1.589,-35.99,3.56
"Buenoa","DC108_1","7/15/2015",8,0.09875,1.653,-35.57,2.73
"Buenoa","DC108_1","7/15/2015",6,0.111666667,1.661,-36.46,2.6
"Notonecta","DC108_1","7/15/2015",15,0.05,1.686,-35.45,2.89
"Notonecta","DC108_1","7/15/2015",4,0.1275,1.716,-36.27,2.88
"Buenoa","DC108_1","7/15/2015",6,0.11,1.736,-35.86,2.79
"Notonecta","DC108_1","7/15/2015",6,0.098333333,1.831,-33.7,3.68
"Buenoa","DC108_1","7/15/2015",3,0.17,1.959,-35.85,2.76
"Buenoa","DC108_1","7/15/2015",18,0.016666667,14.28,-35.28,2.97
"Notonecta","DC108_1","7/15/2015",3,0.21,2.016,-33.91,2.68
"Buenoa","DC108_1","7/15/2015",3,0.236666667,2.066,-36.55,2.54
"Buenoa","DC108_1","7/15/2015",3,0.196666667,2.073,-35.19,3.13
"Buenoa","DC108_1","7/15/2015",3,0.28,2.099,-36.36,3.04
"Buenoa","DC108_1","7/15/2015",3,0.223333333,2.17,-35.91,2.82
"Buenoa","DC108_1","7/15/2015",3,0.253333333,2.222,-35.94,2.69
"Buenoa","DC108_1","7/15/2015",3,0.246666667,2.247,-36.47,2.96
"Buenoa","DC108_1","7/15/2015",3,0.216666667,2.278,-36.16,2.5
"Notonecta","DC108_1","7/15/2015",3,0.23,2.279,-36.76,2.58
"Buenoa","DC108_1","7/15/2015",3,0.26,2.292,-35.23,2.83
"Buenoa","DC108_1","7/15/2015",3,0.33,2.412,-36.66,2.26
"Buenoa","DC108_1","7/15/2015",3,0.293333333,2.435,-35.4,2.54
"Notonecta","DC108_1","7/15/2015",3,0.293333333,2.519,-30.63,2.52
"Buenoa","DC108_1","7/15/2015",3,0.316666667,2.59,-36.14,2.78
"Cybister","DC108_1","5/20/2015",3,2.533333333,3.224,-31.89,2.88
