"","sample","species","site","year","date","site_type2","site_type","batch","d13C","d15N"
"1","AC11","MG","A",2014,10,"I","I",4,-23.7007954,4.713064586
"2","AC13","MG","A",2014,12,"I","I",4,-23.08437393,3.870953954
"3","AC14","MG","A",2014,12,"I","I",4,-23.40000274,2.225964675
"4","AC17","MG","A",2014,12,"I","I",4,-23.45819109,3.65100561
"5","AC21","MG","A",2014,12,"I","I",6,-23.67106488,7.134982481
"6","AC27","MG","A",2014,12,"I","I",4,-24.44526893,4.514093582
"7","AC40","MG","A",2014,12,"I","I",4,-23.32703659,3.951309892
"8","AC41","MG","A",2014,12,"I","I",5,-22.55310942,4.731417845
"9","AC44","MG","A",2014,12,"I","I",5,-23.64086741,3.826762686
"10","AC47","MG","A",2014,12,"I","I",4,-23.30176505,3.604759564
"11","AC70","MG","A",2014,12,"I","I",4,-23.14504282,3.987181347
"12","AC71","MG","A",2014,12,"I","I",4,-22.99855481,2.524124591
"13","AC77","MG","A",2014,12,"I","I",4,-23.12258243,3.8861638
"14","BC01","MG","B",2014,15,"M","ME",5,-23.20718736,4.915404632
"15","BC02","MG","B",2014,15,"M","ME",4,-22.93655456,5.023849942
"16","BC04","MG","B",2014,15,"M","ME",4,-23.54635576,3.368973651
"17","BC05","MG","B",2014,18,"M","ME",5,-25.50220275,7.244489372
"18","BC07","MG","B",2014,15,"M","ME",4,-23.31465754,4.203381044
"19","BC10","MG","B",2014,15,"M","ME",4,-24.88715367,1.923263885
"20","BC21","MG","B",2014,18,"M","ME",5,-23.41888243,6.732882261
"21","BC40","MG","B",2014,16,"M","ME",4,-23.82331537,5.795283335
"22","BC41","MG","B",2014,18,"M","ME",5,-22.92386934,3.291042767
"23","BC70","MG","B",2014,16,"M","ME",5,-23.04245129,4.96171942
"24","CC01","MG","C",2014,19,"I","I",4,-23.41663513,6.580646356
"25","CC04","MG","C",2014,20,"I","I",4,-24.51502285,7.075127211
"26","CC07","MG","C",2014,21,"I","I",6,-23.34870547,6.502486545
"27","DC01","MG","D",2014,23,"M","MW",5,-24.12709234,7.267307143
"28","DC02","MG","D",2014,23,"M","MW",5,-23.54622844,4.165339535
"29","DC04","MG","D",2014,23,"M","MW",5,-23.01457822,5.884530914
"30","DC07","MG","D",2014,23,"M","MW",5,-23.50059002,3.954697664
"31","DC10","MG","D",2014,23,"M","MW",5,-22.56431722,3.527746748
"32","DC11","MG","D",2014,26,"M","MW",5,-23.42792885,5.088904054
"33","DC20","MG","D",2014,23,"M","MW",5,-23.3007507,4.32788571
"34","DC21","MG","D",2014,26,"M","MW",5,-23.26005315,4.10167798
"35","DC40","MG","D",2014,26,"M","MW",5,-22.5967824,3.283937394
"36","DC41","MG","D",2014,26,"M","MW",5,-22.89974438,4.044755206
"37","DC43","MG","D",2014,26,"M","MW",5,-24.1828473,7.282488471
"38","DC70","MG","D",2014,26,"M","MW",5,-22.75047295,8.371515414
"39","DC71","MG","D",2014,26,"M","MW",5,-23.63601632,5.85913204
"40","EC01","MG","E",2014,31,"I","I",5,-26.06607606,9.155731846
"41","EC02","MG","E",2014,31,"I","I",6,-23.81252231,5.268302323
"42","EC04","MG","E",2014,31,"I","I",5,-24.48197257,6.236743712
"43","EC07","MG","E",2014,31,"I","I",5,-23.4530979,5.874572624
"44","EC10","MG","E",2014,31,"I","I",5,-23.36438576,7.319488123
"45","EC11","MG","E",2014,33,"I","I",5,-23.92738451,5.395708138
"46","EC12","MG","E",2014,33,"I","I",5,-24.27249503,7.622180455
"47","EC20","MG","E",2014,33,"I","I",5,-24.08612308,5.814790754
"48","EC41","MG","E",2014,33,"I","I",6,-23.75861635,5.370981253
"49","EC70","MG","E",2014,33,"I","I",5,-23.60270583,7.143749058
"50","FC01","MG","F",2014,37,"M","ME",4,-23.33848714,9.198527793
"51","FC02","MG","F",2014,37,"M","ME",4,-23.27944339,9.222077265
"52","FC04","MG","F",2014,37,"M","ME",4,-23.06848336,3.325710576
"53","FC07","MG","F",2014,37,"M","ME",4,-23.60457405,5.621693163
"54","GC02","MG","G",2014,39,"I","I",6,-23.35057214,6.355546222
"55","GC04","MG","G",2014,39,"I","I",6,-23.92107535,6.36352348
"56","GC07","MG","G",2014,39,"I","I",5,-25.16010808,9.567554902
"57","GC10","MG","G",2014,39,"I","I",5,-23.6708659,5.332737541
