"d13C","d15N","ID","Sp","Sexo","month","foraging"
-16.3,20.3,"167","Aa","H",12,"restricted"
-15.2,18.6,"167","Aa","H",11,"nonrestr"
-15.4,17.7,"167","Aa","H",10,"nonrestr"
-15.7,17.5,"167","Aa","H",9,"restricted"
-15.4,17.6,"167","Aa","H",8,"restricted"
-14.7,19.3,"167","Aa","H",7,"restricted"
-14.8,19.5,"167","Aa","H",6,"restricted"
-14.8,19.4,"167","Aa","H",5,"restricted"
-14.6,19.4,"167","Aa","H",4,"restricted"
-14.8,19.1,"167","Aa","H",3,"restricted"
-14.8,18.7,"167","Aa","H",2,"restricted"
-14.8,18.5,"167","Aa","H",1,"restricted"
-14.8,18.7,"167","Aa","H",12,"restricted"
-14.9,18.6,"167","Aa","H",11,"nonrestr"
-15.1,18.5,"167","Aa","H",10,"nonrestr"
-15.1,18.8,"167","Aa","H",9,"restricted"
-15.3,18.3,"167","Aa","H",8,"restricted"
-15.1,19.4,"167","Aa","H",7,"restricted"
-15.3,19,"167","Aa","H",6,"restricted"
-15.2,19,"167","Aa","H",5,"restricted"
-15.2,18.7,"167","Aa","H",4,"restricted"
-15.2,18.6,"167","Aa","H",3,"restricted"
-15.5,18.1,"167","Aa","H",2,"restricted"
-15.3,18.2,"167","Aa","H",1,"restricted"
-14.7,18.9,"167","Aa","H",12,"restricted"
-14.5,19.6,"167","Aa","H",11,"nonrestr"
-14.8,19.6,"167","Aa","H",10,"nonrestr"
-14.8,19.7,"167","Aa","H",9,"restricted"
-14.4,20.1,"167","Aa","H",8,"restricted"
-14.5,19.9,"167","Aa","H",7,"restricted"
-14.7,19.3,"167","Aa","H",6,"restricted"
-14.6,18.9,"167","Aa","H",5,"restricted"
-14.2,18.6,"167","Aa","H",4,"restricted"
-14.3,18.7,"167","Aa","H",3,"restricted"
-14.8,18.4,"167","Aa","H",2,"restricted"
-14.9,17.9,"167","Aa","H",1,"restricted"
-14.8,18.3,"167","Aa","H",12,"restricted"
-14.4,19.4,"167","Aa","H",11,"nonrestr"
-14.3,19.6,"167","Aa","H",10,"nonrestr"
-13.9,19.5,"167","Aa","H",9,"restricted"
-13.8,19.7,"167","Aa","H",8,"restricted"
-14.1,19.3,"167","Aa","H",7,"restricted"
-13.9,18.9,"167","Aa","H",6,"restricted"
-13.5,19.1,"167","Aa","H",5,"restricted"
-14.3,18.9,"167","Aa","H",4,"restricted"
-14.5,18.5,"167","Aa","H",3,"restricted"
-14.8,19.2,"167","Aa","H",2,"restricted"
-14.8,19.2,"167","Aa","H",1,"restricted"
-14.9,19.1,"167","Aa","H",12,"restricted"
-14.9,19.2,"167","Aa","H",11,"nonrestr"
-15.7,16.3,"167","Aa","H",9,"restricted"
-14.8,16.4,"167","Aa","H",8,"restricted"
-14.8,16.8,"167","Aa","H",7,"restricted"
-15.9,17.4,"168","Aa","H",1,"restricted"
-16.2,14.5,"168","Aa","H",12,"restricted"
-16.9,15.9,"168","Aa","H",11,"nonrestr"
-15.6,16.2,"168","Aa","H",10,"nonrestr"
-15.4,16.6,"168","Aa","H",9,"restricted"
-15.3,17,"168","Aa","H",8,"restricted"
-15.3,16.9,"168","Aa","H",7,"restricted"
-15.2,16.8,"168","Aa","H",6,"restricted"
-15.3,16.8,"168","Aa","H",5,"restricted"
-15.5,16,"168","Aa","H",4,"restricted"
-15.6,15.8,"168","Aa","H",3,"restricted"
-16,15.3,"168","Aa","H",2,"restricted"
-15.8,16.3,"168","Aa","H",1,"restricted"
-15.6,16.4,"168","Aa","H",12,"restricted"
-15.6,17.1,"168","Aa","H",11,"nonrestr"
-15.7,17.2,"168","Aa","H",10,"nonrestr"
-15.7,17,"168","Aa","H",9,"restricted"
-15.9,16.7,"168","Aa","H",8,"restricted"
-15.8,16.7,"168","Aa","H",7,"restricted"
-15.7,16.9,"168","Aa","H",6,"restricted"
-15.7,16.6,"168","Aa","H",5,"restricted"
-19.1,16.4,"168","Aa","H",4,"restricted"
-15.8,16.4,"168","Aa","H",3,"restricted"
-15.9,15.7,"168","Aa","H",2,"restricted"
-15.8,15.7,"168","Aa","H",1,"restricted"
-15.3,17.1,"168","Aa","H",12,"restricted"
-15.3,17.5,"168","Aa","H",11,"nonrestr"
-15.4,17.7,"168","Aa","H",10,"nonrestr"
-15.6,17.7,"168","Aa","H",9,"restricted"
-15.7,17.5,"168","Aa","H",8,"restricted"
-15.6,17.1,"168","Aa","H",7,"restricted"
